object,green,orange,blue,red,magenta
Propionibacterium_acnes-14,0.023,0.047,0.605,0.326,0.000
Propionibacterium_acnes-13,0.043,0.304,0.000,0.261,0.391
Acinetobacter_junii-13,0.227,0.545,0.136,0.045,0.045
Acinetobacter_tjernbergiae-13,0.000,0.765,0.118,0.000,0.118
Acinetobacter_junii-14,0.294,0.647,0.000,0.000,0.059
Cloacibacterium-12,0.385,0.615,0.000,0.000,0.000
Acidovorax-13,0.000,0.750,0.083,0.167,0.000
Propionibacterium_acnes-12,0.000,0.300,0.000,0.000,0.700
Acinetobacter_tjernbergiae-14,0.000,1.000,0.000,0.000,0.000
Comamonas_jiangduensis-14,1.000,0.000,0.000,0.000,0.000
Sediminibacterium-13,0.167,0.167,0.000,0.333,0.333
Acinetobacter_junii-12,0.000,0.000,0.500,0.000,0.500
Sediminibacterium-12,0.000,0.000,0.000,1.000,0.000
Pseudomonas-12,1.000,0.000,0.000,0.000,0.000
Nitrosospira-14,0.000,0.000,0.200,0.600,0.200
Nitrosospira-13,0.000,0.000,0.000,1.000,0.000
Delftia-14,0.200,0.000,0.000,0.000,0.800
Comamonas_jiangduensis-13,1.000,0.000,0.000,0.000,0.000
Acidovorax-14,0.000,0.800,0.000,0.000,0.200
Streptococcus-12,0.000,0.000,1.000,0.000,0.000
Pseudomonas-13,1.000,0.000,0.000,0.000,0.000
Moraxella-12,0.000,0.000,1.000,0.000,0.000
Cloacibacterium-13,0.250,0.250,0.000,0.500,0.000
Acidovorax-12,0.000,1.000,0.000,0.000,0.000
Achromobacter-13,0.000,0.250,0.500,0.000,0.250
Noviherbaspirillum-12,0.000,0.000,0.000,0.000,1.000
Moraxella-13,0.000,0.000,1.000,0.000,0.000
Methylobacterium-13,0.000,0.000,0.000,0.000,1.000
Corynebacterium-13,0.000,0.000,0.667,0.000,0.333
Bradyrhizobium-13,0.000,0.000,0.000,1.000,0.000
Acinetobacter_tjernbergiae-12,0.000,0.000,1.000,0.000,0.000
Variovorax-14,0.000,0.000,0.000,0.000,1.000
Variovorax-13,0.000,0.000,0.000,0.000,1.000
Stenotrophomonas-13,0.000,0.000,0.000,1.000,0.000
Sphingomonas-14,0.000,0.500,0.000,0.000,0.500
Sediminibacterium-14,0.000,0.000,0.000,0.500,0.500
Noviherbaspirillum-13,0.000,0.000,0.000,0.000,1.000
Moraxella-14,1.000,0.000,0.000,0.000,0.000
Methylobacterium-14,0.000,0.000,0.000,0.000,1.000
Meiothermus-13,0.000,0.000,0.000,1.000,0.000
Kocuria-14,0.000,0.000,0.000,1.000,0.000
Kocuria-13,0.000,0.000,0.500,0.500,0.000
Janthinobacterium-14,0.000,0.000,0.500,0.000,0.500
Caulobacter-14,0.000,0.000,0.000,0.000,1.000
Bradyrhizobium-14,0.000,0.000,0.000,1.000,0.000
Bacteroides-13,1.000,0.000,0.000,0.000,0.000
Bacillus-14,0.000,0.000,0.000,0.000,1.000
Actinomyces-13,0.000,0.000,0.000,0.000,1.000
Achromobacter-14,0.000,0.000,0.500,0.500,0.000
Virgibacillus-14,0.000,0.000,0.000,0.000,1.000
Veillonella-13,0.000,0.000,0.000,0.000,1.000
Tabrizicola-13,0.000,1.000,0.000,0.000,0.000
Streptococcus-14,0.000,0.000,0.000,0.000,1.000
Streptococcus-13,0.000,0.000,0.000,0.000,1.000
Stenotrophomonas-14,0.000,0.000,0.000,0.000,1.000
Sporocytophaga-13,0.000,0.000,0.000,0.000,1.000
Solirubrobacter-13,0.000,0.000,1.000,0.000,0.000
Snodgrassella-13,0.000,0.000,0.000,0.000,1.000
Singulisphaera-13,0.000,1.000,0.000,0.000,0.000
Shigella-14,0.000,0.000,1.000,0.000,0.000
Rubellimicrobium-14,0.000,0.000,0.000,0.000,1.000
Roseomonas-14,0.000,1.000,0.000,0.000,0.000
Ralstonia-13,0.000,0.000,0.000,0.000,1.000
Pseudomonas-14,1.000,0.000,0.000,0.000,0.000
Pedobacter-13,0.000,0.000,0.000,0.000,1.000
Paracoccus-13,0.000,0.000,0.000,0.000,1.000
Paraburkholderia-13,0.000,1.000,0.000,0.000,0.000
Novosphingobium-14,0.000,1.000,0.000,0.000,0.000
Nocardioides-13,0.000,0.000,0.000,0.000,1.000
Niabella-13,0.000,0.000,0.000,0.000,1.000
Neomicrococcus-13,0.000,0.000,0.000,0.000,1.000
Microbacterium-13,0.000,0.000,1.000,0.000,0.000
Massilia-14,0.000,0.000,0.000,0.000,1.000
Lysinibacillus-13,0.000,0.000,0.000,1.000,0.000
Lactobacillus-13,0.000,0.000,0.000,1.000,0.000
Lachnoclostridium-13,1.000,0.000,0.000,0.000,0.000
Klebsiella-13,0.000,0.000,0.000,0.000,1.000
Jeotgalicoccus-14,0.000,0.000,1.000,0.000,0.000
Janthinobacterium-13,0.000,0.000,1.000,0.000,0.000
Herbiconiux-13,0.000,0.000,0.000,0.000,1.000
Gemella-14,0.000,0.000,1.000,0.000,0.000
Flavihumibacter-13,0.000,1.000,0.000,0.000,0.000
Ferrovibrio-14,0.000,0.000,0.000,1.000,0.000
